,Decade,Total Pages,Pages with Faces,% Pages with Faces,Total Faces
0,1820,26,0,0.0,0
1,1830,54,1,1.8518518518518516,1
2,1840,50,1,2.0,1
3,1850,48,2,4.166666666666666,2
4,1860,48,3,6.25,4
5,1870,46,2,4.3478260869565215,5
6,1880,50,5,10.0,6
7,1890,52,1,1.9230769230769231,1
8,1900,54,9,16.666666666666664,11
9,1910,50,4,8.0,6
10,1920,110,11,10.0,21
11,1930,104,20,19.230769230769234,32
12,1940,92,10,10.869565217391305,13
13,1950,116,29,25.0,49
14,1960,166,31,18.67469879518072,44
15,1970,186,41,22.043010752688172,48
16,1980,306,107,34.967320261437905,144
17,1990,424,123,29.009433962264154,190
